Job Title,Job Info,Position,Employer,City,Province,Skill,Seniority,Work Type,Industry Type,Min_Salary,Max_Salary,Avg_Salary,Skill_List,Education_Level
Financial and Operational Analysts,Data-driven Marketing Analyst,Analyst,Weyburn Credit Union,Weyburn,SK,"Html, Tableau, Sql, Css, Python, Javascript, R, Power BI",ANY,In-Person,Technology,61181.0,76458.0,68819.5,"['html', 'tableau', 'sql', 'css', 'python', 'javascript', 'r', 'power bi']",Bachelor's
Senior Supply Chain Data Analysts,FPSS Quality Coordination Analyst,Analyst,City of Winnipeg,Winnipeg,MB,"Crystal, Excel, Database",ANY,In-Person,Technology,68500.0,87000.0,77750.0,"['crystal', 'excel', 'database']",Bachelor's
Business Systems Analysts,"analyst, business - computer systems",System Analyst,TechVest Global Solutions Inc.,Toronto,ON,Undef,ANY,In-Person,Technology,105000.0,105000.0,105000.0,['undef'],Bachelor's
Senior Supply Chain Data Analysts,"Business Systems Analyst 10 yrs (SQL, big data, Credit Risk, Banking Loan Book, Python)",Risk Analyst,Compest Solutions Inc,Toronto,ON,"Sql, Big Data, Hadoop, Python, Jupyter",ANY,In-Person,Consulting,104000.0,120640.0,112320.0,"['sql', 'big data', 'hadoop', 'python', 'jupyter']",Bachelor's
Business and Technical Analysts,ADMN O 24R - Policy Analyst,Analyst,BC Public Service,Abbotsford,BC,Eagle,ANY,In-Person,Service,76071.18,86658.48,81364.82999999999,['eagle'],Bachelor's
Senior Supply Chain Data Analysts,"Analyst, Business Performance, Bilingual or English",Analyst,Nordia,Laval,QC,Undef,ANY,In-Person,Others,68500.0,87000.0,77750.0,['undef'],Bachelor's
Senior Business Intelligence Analysts,business intelligence specialist,Data Specialist,RAMP Technology Group Inc.,Surrey,BC,"Github, Aws, Sql",Senior,In-Person,Technology,95680.0,95680.0,95680.0,"['github', 'aws', 'sql']",Bachelor's
Senior Supply Chain Data Analysts,"Analyst, Business Performance, Bilingual or English",Analyst,Nordia,Laval,QC,Undef,ANY,In-Person,Others,68500.0,87000.0,77750.0,['undef'],Bachelor's
Business and Technical Analysts,Continuous Improvement/Business Analyst,Business Analyst,FleetOptics Inc,Mississauga,ON,"Power Bi, Excel",ANY,In-Person,Others,64123.59,86600.0,75361.795,"['power bi', 'excel']",Bachelor's
Business and Marketing Analysts,Research Analyst,Analyst,University of Toronto,Toronto,ON,"Sas, Big Data, R",ANY,In-Person,Technology,30240.56,75223.0,52731.78,"['sas', 'big data', 'r']",Bachelor's
Financial and Operational Analysts,"Analyst, Transaction Management",Analyst,Groupe Optimum Inc.,MontrÃƒÂ©al,QC,Excel,ANY,In-Person,Others,100000.0,100000.0,100000.0,['excel'],Bachelor's
Business Systems Analysts,Business Systems Analyst (Computer Services Officer 3),Data Officer,Province of Nova Scotia,Halifax,NS,Power Platform,ANY,In-Person,Others,69000.1,84021.08,76510.59,['power platform'],Bachelor's
Business Systems Analysts,"Business Systems Analyst, Capital Markets Technology, Derivative Products",System Analyst,Scotiabank,Toronto,ON,"Sql, Gap, Excel",ANY,In-Person,Finance,85816.8,91520.0,88668.4,"['sql', 'gap', 'excel']",Bachelor's
Business and Marketing Analysts,Business Analyst Manager,Manager,Midland Transport,Dieppe,NB,Excel,Senior,In-Person,Real Estate,65000.0,87000.0,76000.0,['excel'],Bachelor's
